1
 ESATAN-TMS  2025                                                      Page     1
 16 February  2026  10:31:22                                  DRAGOSAT_V2_GEO_HOT





  TIMEN =      0.00      MODULE SOLVFM      LOOPCT =    29
 ENBALA = 9.405E-03      ENBALR = 5.E-05


 TABLE OUTPUT WITH ZENTS = 'L,T,QS,QE,QA,QI,C'
 FOR NODES OF ZLABEL = ' '

 ================================================================================


+DRAGOSAT_V2_GEO_HOT                                                             


          NODE   LABEL                              T             QS            

        10304    Body_Panel                       62.63          0.00
        10305    Body_Panel                       62.64          0.00
        10306    Body_Panel                       62.65          0.00
        10307    Body_Panel                       62.65          0.00
        10308    Body_Panel                       62.65          0.00
        10309    Body_Panel                       62.63          0.00
        10310    Body_Panel                       62.63          0.00
        10311    Body_Panel                       62.64          0.00
        10312    Body_Panel                       62.64          0.00
        10313    Body_Panel                       62.64          0.00
        10314    Body_Panel                       62.62          0.00
        10315    Body_Panel                       62.61          0.00
        10316    Body_Panel                       62.61          0.00
        10317    Body_Panel                       62.61          0.00
        10318    Body_Panel                       62.61          0.00
        10319    Body_Panel                       62.60          0.00
        10320    Body_Panel                       62.59          0.00
        10321    Body_Panel                       62.60          0.00
        10322    Body_Panel                       62.60          0.00
        10323    Body_Panel                       62.59          0.00
        10324    Body_Panel                       62.59          0.00
        10400    Body_Panel                       60.08          0.00
        10401    Body_Panel                       59.85          0.00
        10402    Body_Panel                       59.52          0.00
        10403    Body_Panel                       60.02          0.00
        10404    Body_Panel                       60.35          0.00
        10405    Body_Panel                       60.15          0.00
        10406    Body_Panel                       59.89          0.00
        10407    Body_Panel                       59.21          0.00
        10408    Body_Panel                       60.06          0.00
        10409    Body_Panel                       60.46          0.00
        10410    Body_Panel                       60.02          0.00
        10411    Body_Panel                       59.72          0.00
        10412    Body_Panel                       58.31          0.00
        10413    Body_Panel                       59.94          0.00
        10414    Body_Panel                       60.45          0.00
        10415    Body_Panel                       59.98          0.00
        10416    Body_Panel                       59.93          0.00
        10417    Body_Panel                       59.44          0.00
        10418    Body_Panel                       60.19          0.00
        10419    Body_Panel                       60.59          0.00
        10420    Body_Panel                       59.95          0.00
        10421    Body_Panel                       59.88          0.00
        10422    Body_Panel                       59.68          0.00
        10423    Body_Panel                       60.14          0.00
        10424    Body_Panel                       60.47          0.00
        10500    Body_Panel                       54.65          0.00
        10501    Body_Panel                       54.61          0.00
        10502    Body_Panel                       54.60          0.00
        10503    Body_Panel                       54.61          0.00
        10504    Body_Panel                       54.65          0.00
        10505    Body_Panel                       54.58          0.00
        10506    Body_Panel                       54.47          0.00
        10507    Body_Panel                       54.45          0.00
        10508    Body_Panel                       54.47          0.00
        10509    Body_Panel                       54.58          0.00
        10510    Body_Panel                       54.55          0.00
        10511    Body_Panel                       54.44          0.00
        10512    Body_Panel                       54.42          0.00
        10513    Body_Panel                       54.43          0.00
        10514    Body_Panel                       54.53          0.00
        10515    Body_Panel                       54.57          0.00
        10516    Body_Panel                       54.46          0.00
        10517    Body_Panel                       54.43          0.00
        10518    Body_Panel                       54.44          0.00
        10519    Body_Panel                       54.52          0.00
        10520    Body_Panel                       54.64          0.00
        10521    Body_Panel                       54.59          0.00
        10522    Body_Panel                       54.56          0.00
        10523    Body_Panel                       54.55          0.00
        10524    Body_Panel                       54.58          0.00
        10600    Body_Panel                       61.44          0.00
        10601    Body_Panel                       61.43          0.00
        10602    Body_Panel                       61.43          0.00
        10603    Body_Panel                       61.45          0.00
        10604    Body_Panel                       61.43          0.00
        10605    Body_Panel                       61.41          0.00
        10606    Body_Panel                       61.41          0.00
        10607    Body_Panel                       61.44          0.00
        10608    Body_Panel                       61.43          0.00
        10609    Body_Panel                       61.41          0.00
        10610    Body_Panel                       61.41          0.00
        10611    Body_Panel                       61.44          0.00
        10612    Body_Panel                       61.44          0.00
        10613    Body_Panel                       61.43          0.00
        10614    Body_Panel                       61.43          0.00
        10615    Body_Panel                       61.44          0.00
        10650    Body_Inf                         61.44          0.00
        10651    Body_Inf                         61.43          0.00
        10652    Body_Inf                         61.43          0.00
        10653    Body_Inf                         61.45          0.00
        10654    Body_Inf                         61.43          0.00
        10655    Body_Inf                         61.41          0.00
        10656    Body_Inf                         61.41          0.00
        10657    Body_Inf                         61.44          0.00
        10658    Body_Inf                         61.43          0.00
        10659    Body_Inf                         61.41          0.00
        10660    Body_Inf                         61.41          0.00
        10661    Body_Inf                         61.44          0.00
        10662    Body_Inf                         61.44          0.00
        10663    Body_Inf                         61.43          0.00
        10664    Body_Inf                         61.43          0.00
        10665    Body_Inf                         61.44          0.00
        11000    BODY_TRAY                        62.47          0.00
        11001    BODY_TRAY                        62.69          0.00
        11002    BODY_TRAY                        62.70          0.00
        11003    BODY_TRAY                        62.41          0.00
        11004    BODY_TRAY                        62.50          0.00
        11005    BODY_TRAY                        62.74          0.00
        11006    BODY_TRAY                        62.79          0.00
        11007    BODY_TRAY                        62.46          0.00
        11008    BODY_TRAY                        62.45          0.00
        11009    BODY_TRAY                        62.71          0.00
        11010    BODY_TRAY                        62.75          0.00
        11011    BODY_TRAY                        62.41          0.00
        11012    BODY_TRAY                        62.30          0.00
        11013    BODY_TRAY                        62.58          0.00
        11014    BODY_TRAY                        62.59          0.00
        11015    BODY_TRAY                        62.31          0.00
        11100    BODY_TRAY                        66.26          0.00
        11101    BODY_TRAY                        66.45          0.00
        11102    BODY_TRAY                        66.02          0.00
        11103    BODY_TRAY                        65.31          0.00
        11104    BODY_TRAY                        66.84          0.00
        11105    BODY_TRAY                        67.00          0.00
        11106    BODY_TRAY                        66.32          0.00
        11107    BODY_TRAY                        65.48          0.00
        11108    BODY_TRAY                        68.11          0.00
        11109    BODY_TRAY                        68.20          0.00
        11110    BODY_TRAY                        66.77          0.00
        11111    BODY_TRAY                        65.73          0.00
        11112    BODY_TRAY                        68.47          0.00
        11113    BODY_TRAY                        68.51          0.00
        11114    BODY_TRAY                        66.98          0.00
        11115    BODY_TRAY                        65.87          0.00
        20000    SPS_STR                          47.95          1.18
        20001    SPS_STR                          47.95          0.62
        20002    SPS_STR                          47.95          0.61
        20003    SPS_STR                          47.95          1.18
        20004    SPS_STR                          48.14          0.81
        20005    SPS_STR                          48.13          0.00
        20006    SPS_STR                          48.13          0.00
        20007    SPS_STR                          48.14          0.80
        20008    SPS_STR                          48.58          0.81
        20009    SPS_STR                          48.57          0.00
        20010    SPS_STR                          48.57          0.00
        20011    SPS_STR                          48.58          0.82
        20012    SPS_STR                          49.35          0.81
        20013    SPS_STR                          49.35          0.01
        20014    SPS_STR                          49.35          0.01
        20015    SPS_STR                          49.35          0.80
        20016    SPS_STR                          50.27          0.82
        20017    SPS_STR                          50.32          0.02
        20018    SPS_STR                          50.32          0.02
        20019    SPS_STR                          50.27          0.83
        20020    SPS_STR                          51.20          1.22
        20021    SPS_STR                          51.58          0.66
        20022    SPS_STR                          51.58          0.67
        20023    SPS_STR                          51.20          1.24
        20100    SPS_STR                          50.54          1.15
        20101    SPS_STR                          50.96          0.62
        20102    SPS_STR                          50.96          0.64
        20103    SPS_STR                          50.55          1.16
        20104    SPS_STR                          49.61          0.81
        20105    SPS_STR                          49.66          0.00
        20106    SPS_STR                          49.67          0.00
        20107    SPS_STR                          49.61          0.80
        20108    SPS_STR                          48.70          0.79
        20109    SPS_STR                          48.70          0.00
        20110    SPS_STR                          48.70          0.00
        20111    SPS_STR                          48.70          0.81
        20112    SPS_STR                          47.93          0.80
        20113    SPS_STR                          47.93          0.00
        20114    SPS_STR                          47.93          0.00
        20115    SPS_STR                          47.94          0.81
        20116    SPS_STR                          47.49          0.80
        20117    SPS_STR                          47.48          0.00
        20118    SPS_STR                          47.48          0.00
        20119    SPS_STR                          47.49          0.81
        20120    SPS_STR                          47.30          1.17
        20121    SPS_STR                          47.30          0.58
        20122    SPS_STR                          47.30          0.59
        20123    SPS_STR                          47.31          1.18
        21000    SPS_CELL                         48.23          0.81
        21001    SPS_CELL                         48.42          0.81
        21002    SPS_CELL                         48.82          0.81
        21003    SPS_CELL                         49.58          0.81
        21004    SPS_CELL                         50.41          0.81
        21005    SPS_CELL                         51.26          0.82
        21006    SPS_CELL                         48.22          0.81
        21007    SPS_CELL                         48.42          0.81
        21008    SPS_CELL                         48.82          0.81
        21009    SPS_CELL                         49.58          0.81
        21010    SPS_CELL                         50.44          0.81
        21011    SPS_CELL                         51.42          0.82
        21012    SPS_CELL                         48.22          0.81
        21013    SPS_CELL                         48.41          0.81
        21014    SPS_CELL                         48.81          0.81
        21015    SPS_CELL                         49.58          0.81
        21016    SPS_CELL                         50.45          0.81
        21017    SPS_CELL                         51.48          0.82
        21018    SPS_CELL                         48.23          0.81
        21019    SPS_CELL                         48.41          0.81
        21020    SPS_CELL                         48.81          0.81
        21021    SPS_CELL                         49.58          0.81
        21022    SPS_CELL                         50.45          0.81
        21023    SPS_CELL                         51.48          0.82
        21024    SPS_CELL                         48.23          0.81
        21025    SPS_CELL                         48.41          0.81
        21026    SPS_CELL                         48.81          0.81
        21027    SPS_CELL                         49.58          0.81
        21028    SPS_CELL                         50.44          0.81
        21029    SPS_CELL                         51.42          0.82
        21030    SPS_CELL                         48.23          0.81
        21031    SPS_CELL                         48.42          0.81
        21032    SPS_CELL                         48.82          0.81
        21033    SPS_CELL                         49.58          0.81
        21034    SPS_CELL                         50.41          0.81
        21035    SPS_CELL                         51.26          0.82
        21100    SPS_CELL                         50.59          0.81
        21101    SPS_CELL                         49.74          0.81
        21102    SPS_CELL                         48.93          0.81
        21103    SPS_CELL                         48.18          0.81
        21104    SPS_CELL                         47.78          0.81
        21105    SPS_CELL                         47.58          0.81
        21106    SPS_CELL                         50.76          0.81
        21107    SPS_CELL                         49.77          0.81
        21108    SPS_CELL                         48.93          0.81
        21109    SPS_CELL                         48.17          0.81
        21110    SPS_CELL                         47.77          0.81
        21111    SPS_CELL                         47.58          0.81
        21112    SPS_CELL                         50.82          0.81
        21113    SPS_CELL                         49.78          0.81
        21114    SPS_CELL                         48.93          0.81
        21115    SPS_CELL                         48.17          0.81
        21116    SPS_CELL                         47.77          0.81
        21117    SPS_CELL                         47.58          0.81
        21118    SPS_CELL                         50.82          0.81
        21119    SPS_CELL                         49.78          0.81
        21120    SPS_CELL                         48.93          0.81
        21121    SPS_CELL                         48.17          0.81
        21122    SPS_CELL                         47.77          0.81
        21123    SPS_CELL                         47.58          0.81
        21124    SPS_CELL                         50.76          0.81
        21125    SPS_CELL                         49.77          0.81
        21126    SPS_CELL                         48.93          0.81
        21127    SPS_CELL                         48.17          0.81
        21128    SPS_CELL                         47.77          0.81
        21129    SPS_CELL                         47.58          0.81
        21130    SPS_CELL                         50.59          0.81
        21131    SPS_CELL                         49.75          0.81
        21132    SPS_CELL                         48.92          0.81
        21133    SPS_CELL                         48.18          0.81
        21134    SPS_CELL                         47.77          0.81
        21135    SPS_CELL                         47.58          0.81
        30100    IR_CAM_STR                       41.95          0.07
        30101    IR_CAM_STR                       42.09          0.10
        30102    IR_CAM_STR                       50.75          0.02
        30103    IR_CAM_STR                       50.77          0.03
        31000    IR_CAM_ELECT                     79.23          0.00
        31001    IR_CAM_ELECT                     66.51          0.00
        31002    IR_CAM_ELECT                     66.83          0.00
        31003    IR_CAM_ELECT                     66.56          0.00
        31004    IR_CAM_ELECT                     66.73          0.00
        31005    IR_CAM_ELECT                     51.54          0.00
        31100    IR_CAM_ELECT                      0.00          0.00
        32000    IR_CAM_LENS                     101.71          0.14
        40000    INS_EB                           54.57          0.00
        40001    INS_EB                           61.45          0.00
        40002    INS_EB                           62.53          0.00
        40003    INS_EB                           61.61          0.00
        40004    INS_EB                           61.40          0.00
        40005    INS_EB                           70.18          0.00
        40100    IR_EB                            73.02          0.00
        41000    INS_PLD_1                        80.44          0.00
        41001    INS_PLD_1                        77.53          0.00
