1
 ESATAN-TMS  2025                                                      Page     1
 17 February  2026  11:08:16                              DRAGOSAT_V2_EXEC_ESATAN





  TIMEN =      0.00      MODULE SOLVFM      LOOPCT =    29
 ENBALA = 1.218E-02      ENBALR = 6.E-05


 TABLE OUTPUT WITH ZENTS = 'L,T,QS,QE,QA,QI,C'
 FOR NODES OF ZLABEL = ' '

 ================================================================================


+DRAGOSAT_V2_EXEC_ESATAN                                                         


          NODE   LABEL                              T             QS            

        42003    INS_PLD_2                        77.18          0.00
        42004    INS_PLD_2                        77.67          0.00
        42005    INS_PLD_2                        63.06          0.00
        50000    Radiator                          6.60          1.86
        50001    Radiator                         32.67          0.03
        50002    Radiator                         32.45          0.04
        50003    Radiator                         31.01          0.01
        50004    Radiator                         33.17          0.05
        50005    Radiator                         54.35          0.00
 X      99998    INACTIVE_NODE                     0.00          0.00
        99999    ENVIRONMENT                    -270.00          0.00



          NODE          QE            QA            QI            C             

          100          0.02          0.05          0.00         11.48
          101          0.02          0.05          0.00         11.48
          102          0.02          0.05          0.00         11.48
          103          0.02          0.05          0.00         11.48
          104          0.02          0.05          0.00         11.48
          105          0.02          0.05          0.00         11.48
          106          0.02          0.05          0.00         11.48
          107          0.02          0.05          0.00         11.48
          108          0.02          0.05          0.00         11.48
          109          0.02          0.05          0.00         11.48
          110          0.02          0.05          0.00         11.48
          111          0.02          0.05          0.00         11.48
          112          0.02          0.05          0.00         11.48
          113          0.02          0.05          0.00         11.48
          114          0.02          0.05          0.00         11.48
          115          0.02          0.05          0.00         11.48
          150          0.00          0.00          0.00         11.48
          151          0.00          0.00          0.00         11.48
          152          0.00          0.00          0.00         11.48
          153          0.00          0.00          0.00         11.48
          154          0.00          0.00          0.00         11.48
          155          0.00          0.00          0.00         11.48
          156          0.00          0.00          0.00         11.48
          157          0.00          0.00          0.00         11.48
          158          0.00          0.00          0.00         11.48
          159          0.00          0.00          0.00         11.48
          160          0.00          0.00          0.00         11.48
          161          0.00          0.00          0.00         11.48
          162          0.00          0.00          0.00         11.48
          163          0.00          0.00          0.00         11.48
          164          0.00          0.00          0.00         11.48
          165          0.00          0.00          0.00         11.48
          200          0.02          0.04          0.00          9.68
          201          0.02          0.04          0.00          9.68
          202          0.02          0.04          0.00          9.68
          203          0.02          0.04          0.00          9.68
          204          0.02          0.04          0.00          9.68
          205          0.02          0.04          0.00          9.68
          206          0.02          0.04          0.00          9.68
          207          0.02          0.04          0.00          9.68
          208          0.02          0.04          0.00          9.68
          209          0.02          0.04          0.00          9.68
          210          0.02          0.04          0.00          9.68
          211          0.02          0.04          0.00          9.68
          212          0.02          0.03          0.00          9.68
          213          0.01          0.03          0.00          9.68
          214          0.01          0.03          0.00          9.68
          215          0.02          0.04          0.00          9.68
          250          0.00          0.00          0.00          9.68
          251          0.00          0.00          0.00          9.68
